Location,Sq_Ft,Bedrooms,Bathrooms,Year_Built,Garage,Price
Keshav Pura,3069,3,3,2000,No,2734760
Dada bari,2012,5,1,1982,Yes,3378088
Gumanpura,1285,4,1,1998,No,2665743
Dada bari,1864,3,1,2014,No,3529821
Vigyan Nagar,3356,1,1,1992,No,3312866
Nayapura,2548,2,1,1998,No,2743822
Dada bari,1938,2,1,1982,No,3307804
Dada bari,1560,5,3,1981,No,3305555
Vigyan Nagar,2150,4,3,2012,No,3225435
Keshav Pura,1053,2,1,2016,No,2591558
Dada bari,2828,3,3,2000,Yes,3511626
Keshav Pura,1839,2,2,1982,Yes,2683365
Nayapura,3286,1,2,2016,Yes,3116511
Nayapura,3405,4,1,2008,Yes,3182153
Nayapura,3291,3,1,1993,Yes,3126979
Keshav Pura,2153,4,2,1982,Yes,2697958
Keshav Pura,2150,3,2,2021,No,2698566
Dada bari,2444,4,3,2005,No,3435131
Vigyan Nagar,3352,3,3,2019,Yes,3650474
Keshav Pura,1979,1,3,1998,No,2588717
Keshav Pura,2969,3,1,1990,No,2652310
Nayapura,3185,5,2,2009,No,3074968
Dada bari,2940,2,2,2000,No,3462942
Gumanpura,3329,3,2,2000,Yes,3096980
Nayapura,3392,2,2,2004,No,2879803
Gumanpura,1864,1,2,1985,Yes,2812158
Dada bari,3169,1,1,1986,No,3425963
Gumanpura,1437,5,3,2011,No,2793096
Nayapura,2404,3,2,1983,Yes,2870621
Nayapura,1642,5,3,1992,Yes,2910057
Keshav Pura,2745,2,3,2004,No,2707484
Dada bari,1735,3,3,2007,Yes,3544429
Dada bari,2129,4,3,1987,No,3334670
Vigyan Nagar,1555,2,1,2015,No,3238443
Vigyan Nagar,987,5,1,2023,Yes,3414891
Keshav Pura,1710,1,1,2003,No,2410258
Keshav Pura,3040,3,2,2005,No,2785929
Nayapura,2284,4,1,2018,Yes,3025421
Vigyan Nagar,1104,3,1,2000,No,2920968
Dada bari,1657,1,2,2016,No,3331280
Dada bari,1582,4,1,1985,No,3330847
Keshav Pura,1452,5,2,1984,Yes,2594659
Nayapura,3224,4,1,1988,No,3036027
Nayapura,3290,2,1,2011,No,3048703
Nayapura,1435,5,1,1991,Yes,2851327
Vigyan Nagar,2590,5,3,2015,No,3433435
Gumanpura,1704,3,3,2015,No,2975865
Gumanpura,1104,2,1,2021,Yes,3068443
Keshav Pura,1792,2,3,2006,No,2576438
Vigyan Nagar,2855,4,2,1986,Yes,3445666
Vigyan Nagar,1374,1,1,1994,Yes,3158632
Dada bari,3206,5,1,1983,Yes,3609732
Dada bari,1059,1,3,2005,Yes,3224173
Vigyan Nagar,2177,5,3,1980,No,3147008
Keshav Pura,3432,1,3,1985,Yes,2866119
Nayapura,3263,5,3,1995,No,2941271
Gumanpura,2027,3,3,1981,No,2939385
Keshav Pura,3302,3,3,1996,Yes,2816534
Keshav Pura,2653,3,2,1980,No,2745232
Dada bari,1502,3,2,1980,Yes,3439808
Gumanpura,1212,2,3,1989,Yes,2757766
Vigyan Nagar,2486,1,2,2012,No,3351763
Vigyan Nagar,2060,2,1,2001,Yes,3157131
Gumanpura,1492,5,2,2016,Yes,3083061
Nayapura,1892,2,1,2015,No,2817607
Vigyan Nagar,1760,2,3,1989,Yes,3144170
Keshav Pura,2936,1,1,2022,Yes,2972364
Dada bari,1248,4,3,1997,No,3323180
Nayapura,3228,4,2,2019,No,3086783
Keshav Pura,1205,4,1,1980,Yes,2541312
Nayapura,2594,3,3,2012,Yes,2960669
Dada bari,2171,1,1,1984,Yes,3474109
Gumanpura,2185,5,2,1990,Yes,3041770
Keshav Pura,3150,4,1,1991,No,2744097
Vigyan Nagar,2281,5,3,2009,No,3313932
Dada bari,2408,1,3,1991,Yes,3422770
Vigyan Nagar,2695,3,2,2014,No,3358479
Dada bari,1949,3,2,1994,Yes,3492680
Gumanpura,2598,5,1,2011,Yes,3097124
Keshav Pura,1856,1,1,1997,No,2512494
Vigyan Nagar,1598,2,2,2012,Yes,3250763
Nayapura,1926,3,1,2000,Yes,2916024
Gumanpura,2932,3,3,1982,No,2970546
Vigyan Nagar,3460,1,3,1991,No,3331594
Keshav Pura,3349,5,1,1989,No,2708075
Vigyan Nagar,1798,5,3,1992,Yes,3258345
Gumanpura,3323,1,2,2019,Yes,3233495
Nayapura,3124,3,1,1990,Yes,2933334
Vigyan Nagar,2455,4,3,1982,Yes,3254719
Vigyan Nagar,2506,4,2,2012,Yes,3496096
Dada bari,1114,3,2,1995,Yes,3383795
Nayapura,2064,3,3,2013,Yes,2990628
Nayapura,2177,4,3,1998,No,2840396
Dada bari,1297,1,2,2018,Yes,3477815
Vigyan Nagar,2602,5,3,1984,No,3255949
Keshav Pura,2701,1,3,1999,Yes,2659311
Dada bari,2305,1,1,1990,Yes,3528151
Vigyan Nagar,1668,4,3,2022,No,3405506
Keshav Pura,3220,3,3,1985,Yes,2801873
Keshav Pura,1142,3,3,1984,Yes,2431829
Vigyan Nagar,2689,3,1,1991,No,3155655
Dada bari,3359,5,3,1991,No,3541175
Gumanpura,3311,3,2,2023,Yes,3379577
Dada bari,1262,2,1,1986,No,3203798
Keshav Pura,2786,2,1,2009,No,2767245
Keshav Pura,1210,4,2,1983,No,2472227
Vigyan Nagar,2188,3,3,2006,No,3184596
Gumanpura,2029,3,2,2021,Yes,3074740
Vigyan Nagar,1031,1,3,1995,No,2902249
Gumanpura,1067,3,1,2018,No,2933545
Gumanpura,1289,4,1,2005,No,2862601
Gumanpura,2397,1,1,2020,Yes,3110879
Keshav Pura,2062,1,3,2012,Yes,2642771
Nayapura,2275,4,2,1999,Yes,2936577
Vigyan Nagar,2033,5,1,2017,No,3333722
Vigyan Nagar,2228,5,3,1994,No,3165500
Nayapura,1926,5,1,2017,No,2909043
Dada bari,3169,4,2,1994,No,3468525
Gumanpura,3113,3,3,2015,No,3175313
Dada bari,2143,4,1,2014,No,3435170
Vigyan Nagar,2487,3,2,2018,Yes,3490479
Dada bari,1307,1,1,2008,No,3343378
Vigyan Nagar,1004,5,1,1997,Yes,3164130
Keshav Pura,1305,5,1,2021,No,2565192
Nayapura,2669,2,2,2021,Yes,3191283
Vigyan Nagar,2233,4,1,2021,No,3319076
Vigyan Nagar,2179,1,1,2005,Yes,3227093
Keshav Pura,2454,2,1,2021,No,2759740
Nayapura,2006,3,1,2010,No,2769759
Nayapura,1301,1,2,1997,No,2636697
Dada bari,1430,5,3,1987,Yes,3324099
Keshav Pura,1725,1,2,2002,No,2563175
Vigyan Nagar,973,5,3,1991,No,3104364
Dada bari,2645,5,1,1991,Yes,3635597
Keshav Pura,2807,5,1,1981,No,2720943
Nayapura,2119,5,1,2003,No,2725144
Keshav Pura,1360,2,3,2022,No,2597850
Gumanpura,1435,4,2,2004,Yes,2948245
Dada bari,2319,2,2,1987,Yes,3523952
Gumanpura,2670,2,3,1980,Yes,3002562
Dada bari,1219,4,1,1980,No,3258739
Nayapura,2631,1,3,2019,No,2949826
Vigyan Nagar,2529,2,1,1987,Yes,3225045
Keshav Pura,3418,2,1,1993,Yes,2746565
Vigyan Nagar,2221,1,1,1980,Yes,3154526
Keshav Pura,1333,3,1,2013,Yes,2554208
Vigyan Nagar,2162,2,3,2009,Yes,3388361
Gumanpura,1872,2,1,2010,No,2801773
Dada bari,2383,2,3,2005,Yes,3545292
Vigyan Nagar,1810,4,3,2008,No,3147644
Nayapura,2023,2,3,2006,No,2814147
Keshav Pura,1202,4,2,2011,Yes,2690895
Gumanpura,2321,5,3,1989,Yes,3084030
Nayapura,1374,4,1,1997,No,2677518
Dada bari,1244,2,3,2003,No,3216042
Nayapura,1589,2,2,1985,No,2681566
Vigyan Nagar,3460,4,2,2008,No,3422390
Nayapura,2912,3,2,2000,No,2947409
Keshav Pura,3439,2,3,1980,Yes,2893584
Gumanpura,1747,1,3,2008,Yes,2942421
Dada bari,3434,4,3,2013,Yes,3789175
Keshav Pura,1773,2,3,1999,No,2419259
Nayapura,2025,1,3,2020,No,2926585
Dada bari,3427,4,3,1982,No,3682436
Dada bari,2581,3,1,1988,No,3513086
Gumanpura,2435,2,2,2007,Yes,3075980
Vigyan Nagar,2728,3,1,1991,Yes,3340345
Nayapura,965,2,1,2011,No,2596201
Gumanpura,2079,2,2,1986,Yes,2881368
Gumanpura,2497,2,2,2013,No,3038948
Keshav Pura,1791,3,3,1980,Yes,2540506
Keshav Pura,1289,1,1,2001,Yes,2521358
Dada bari,993,3,1,1982,Yes,3195650
Nayapura,1670,4,1,1986,No,2803398
Dada bari,1020,2,3,2006,No,3186851
Vigyan Nagar,1111,5,3,2008,Yes,3167751
Vigyan Nagar,2516,2,2,1989,No,3265694
Vigyan Nagar,1569,3,2,1997,No,3179402
Dada bari,2923,4,3,1989,No,3446290
Keshav Pura,1019,4,3,2010,Yes,2684296
Vigyan Nagar,2854,1,1,2010,Yes,3517268
Keshav Pura,1691,3,1,2020,No,2743634
Vigyan Nagar,2061,3,3,1993,No,3212601
Nayapura,1961,4,1,2000,Yes,2870329
Nayapura,2808,4,1,1994,Yes,2956426
Dada bari,2144,1,2,1988,Yes,3419361
Gumanpura,3176,1,3,2004,No,3067992
Vigyan Nagar,2651,3,1,2006,Yes,3294198
Gumanpura,1525,5,2,2020,No,2917811
Vigyan Nagar,3279,5,2,2020,No,3572710
Keshav Pura,2842,1,2,1982,No,2746026
Dada bari,1959,4,3,1993,Yes,3505506
Nayapura,3136,3,3,2011,Yes,3061290
Vigyan Nagar,1492,5,1,2009,No,3129568
Keshav Pura,1004,3,3,2003,Yes,2519718
Vigyan Nagar,2070,3,1,1989,No,3120273
Vigyan Nagar,1386,1,1,1996,No,3098354
Nayapura,2225,2,3,2009,Yes,2969821
Dada bari,1282,1,3,1997,Yes,3321993
Keshav Pura,3408,1,1,2012,Yes,2868626
Keshav Pura,984,5,1,1996,Yes,2525744
Gumanpura,1404,2,2,1985,Yes,2773991
Keshav Pura,3009,3,3,1985,Yes,2855949
Nayapura,3048,5,1,2011,No,3072940
Keshav Pura,1227,4,3,2010,Yes,2557855
Nayapura,3234,4,3,1987,Yes,2976496
Keshav Pura,3373,3,2,1996,Yes,2796117
Dada bari,2551,4,1,1995,No,3353577
Gumanpura,2184,3,1,1991,No,2954741
Dada bari,3389,5,3,1983,Yes,3637150
Gumanpura,3043,5,3,1999,Yes,3041491
Keshav Pura,2017,5,2,1983,Yes,2626769
Dada bari,2159,5,3,2009,Yes,3601616
Dada bari,3262,3,1,1991,Yes,3667079
Dada bari,2662,3,3,1987,No,3456215
Nayapura,1002,1,2,1994,Yes,2727058
Keshav Pura,2419,1,2,1986,Yes,2727418
Keshav Pura,1715,5,1,1986,Yes,2696054
Gumanpura,2807,3,1,2017,No,3174412
Gumanpura,2263,4,3,1992,No,2817048
Nayapura,2075,5,3,2019,Yes,3007877
Gumanpura,2144,4,3,2007,Yes,3071593
Keshav Pura,1083,4,2,2009,No,2544257
Vigyan Nagar,1637,5,2,2021,No,3299137
Vigyan Nagar,1515,1,2,2014,Yes,3326759
Vigyan Nagar,1312,2,1,2015,Yes,3151073
Nayapura,2757,5,2,1995,No,2844693
Gumanpura,2257,4,3,2023,No,3129279
Keshav Pura,2592,1,3,2004,Yes,2679268
Nayapura,2259,1,3,2010,No,2853241
Vigyan Nagar,3465,5,3,2004,No,3502618
Nayapura,3184,4,3,1985,No,2890558
Keshav Pura,3084,5,1,2005,No,2840016
Vigyan Nagar,1239,2,2,1980,Yes,3070989
Keshav Pura,965,3,3,1998,No,2471616
Dada bari,1313,3,1,1999,No,3271338
Gumanpura,1088,5,3,2021,Yes,3009344
Dada bari,1309,3,2,2022,Yes,3452164
Dada bari,2768,4,3,1992,No,3584766
Vigyan Nagar,1828,4,1,2011,Yes,3293013
Nayapura,1852,3,3,2004,No,2762125
Nayapura,3188,1,3,2016,No,2973653
Dada bari,2845,1,2,2007,Yes,3600788
Gumanpura,3332,4,1,2016,No,3185333
Nayapura,2110,4,1,2001,No,2704405
Gumanpura,2381,3,1,1994,Yes,2956621
Nayapura,1498,4,3,2000,No,2791996
Keshav Pura,1384,1,3,1990,Yes,2479104
Vigyan Nagar,1785,3,1,2005,Yes,3263896
Keshav Pura,2109,5,1,1991,No,2594817
Keshav Pura,2170,2,3,1988,Yes,2603904
Keshav Pura,1920,3,1,1994,No,2595541
Dada bari,2964,1,1,1997,Yes,3561067
Keshav Pura,2976,2,2,1997,Yes,2707522
Nayapura,2873,3,1,1990,Yes,2937247
Dada bari,3148,2,2,1993,No,3426837
Gumanpura,3464,2,2,2011,Yes,3219139
Gumanpura,1556,1,1,2019,Yes,3071788
Vigyan Nagar,2781,3,3,1983,No,3291222
Keshav Pura,3197,1,2,2012,Yes,2974069
Gumanpura,2497,1,3,2010,No,2945307
Dada bari,2807,2,1,1982,No,3434159
Nayapura,2318,3,3,2012,No,2994285
Vigyan Nagar,2930,1,1,2002,No,3267476
Gumanpura,1494,3,3,2007,No,2856742
Nayapura,1180,3,3,1992,Yes,2829821
Dada bari,3114,5,1,2014,Yes,3702105
Vigyan Nagar,2498,5,3,2016,No,3433286
Vigyan Nagar,2630,4,1,2016,No,3345262
Gumanpura,2295,5,3,2015,Yes,3237499
Gumanpura,2851,3,3,2008,Yes,3098920
Keshav Pura,2543,4,1,1987,No,2601676
Nayapura,2054,3,3,2016,Yes,3024890
Vigyan Nagar,1116,1,2,2012,No,3028475
Gumanpura,2316,4,2,2017,No,2989922
Gumanpura,2061,4,3,2000,Yes,3048914
Keshav Pura,1168,1,2,2013,Yes,2637855
Keshav Pura,2236,2,1,2010,Yes,2686045
Gumanpura,1477,4,2,2021,Yes,3059337
Nayapura,2497,3,1,2000,No,2852898
Vigyan Nagar,2863,4,3,1987,No,3221272
Nayapura,2567,2,1,1996,No,2775459
Gumanpura,2244,2,1,2008,No,2964310
Gumanpura,2844,1,1,1997,Yes,3105970
Dada bari,2218,4,2,1981,Yes,3546036
Vigyan Nagar,1681,4,1,1982,No,3124989
Dada bari,3460,2,2,1996,Yes,3674931
Keshav Pura,1749,4,1,1985,No,2616258
Keshav Pura,1436,4,1,2018,No,2682978
Keshav Pura,2462,2,3,1990,Yes,2665997
Keshav Pura,2817,2,3,2013,Yes,2934276
Nayapura,3269,5,1,2002,No,2990042
Dada bari,2826,1,1,2020,No,3585241
Nayapura,1892,3,2,1993,No,2814467
Dada bari,2320,4,2,2017,No,3617541
Nayapura,2074,1,1,2006,Yes,2939765
Dada bari,2567,5,2,2012,Yes,3649093
Vigyan Nagar,1657,5,1,2004,Yes,3301173
Nayapura,3209,1,2,1999,No,3000477
Vigyan Nagar,2871,2,1,1983,Yes,3447354
Nayapura,1359,5,1,1983,Yes,2695056
Dada bari,1967,5,2,2005,No,3434135
Vigyan Nagar,2426,4,3,2010,Yes,3466784
Gumanpura,2915,4,2,1992,No,3065726
Keshav Pura,3122,4,1,2015,Yes,2982824
Vigyan Nagar,2352,2,1,1991,Yes,3210362
Gumanpura,2608,2,1,2014,No,2972097
Nayapura,2411,3,3,2016,No,2889808
Nayapura,2629,2,2,2023,Yes,3194883
Gumanpura,1437,5,2,1990,Yes,2949364
Dada bari,3153,4,3,1994,No,3512427
Gumanpura,1244,5,1,2022,Yes,3131310
Gumanpura,3200,3,3,2012,Yes,3312218
Vigyan Nagar,1853,4,1,1997,No,3223921
Nayapura,1093,1,2,1984,No,2644001
Vigyan Nagar,2276,3,1,1980,Yes,3326727
Vigyan Nagar,1771,1,2,1995,No,3144587
Dada bari,2845,2,3,1982,No,3484351
Dada bari,2494,4,1,1998,Yes,3449488
Nayapura,988,5,2,2009,Yes,2848296
Keshav Pura,2323,5,1,1998,No,2575813
Nayapura,1787,3,3,2018,No,2874809
Nayapura,2235,1,3,2009,No,2808883
Gumanpura,2601,2,2,1983,No,2866455
Dada bari,3385,5,2,2001,No,3636559
Gumanpura,3121,4,2,2012,Yes,3237871
Nayapura,3325,2,3,1988,No,3038996
Vigyan Nagar,2488,5,1,1992,No,3181033
Dada bari,1124,3,3,2017,Yes,3395988
Keshav Pura,2009,2,2,2004,No,2526001
Keshav Pura,1638,1,1,2018,No,2645650
Vigyan Nagar,1532,5,2,1993,No,3117827
Gumanpura,2308,3,2,1996,No,2892416
Dada bari,988,1,2,2018,Yes,3375800
Gumanpura,2168,2,2,2001,No,2912694
Nayapura,2127,3,3,2020,No,2926640
Keshav Pura,1988,3,2,2002,No,2609257
Gumanpura,1444,2,3,2011,Yes,2997324
Vigyan Nagar,1641,2,2,1994,No,3133467
Nayapura,2689,2,3,2019,No,2970252
Nayapura,2313,4,1,2002,No,2871445
Keshav Pura,1961,5,3,1987,Yes,2741378
Vigyan Nagar,3179,1,1,1999,No,3334417
Vigyan Nagar,1226,1,1,1995,Yes,3095470
Nayapura,3284,2,1,1983,No,2906183
Gumanpura,2760,2,3,2018,Yes,3186945
Keshav Pura,2949,1,2,1998,Yes,2819342
Keshav Pura,2923,1,3,2021,Yes,2910781
Dada bari,1498,3,3,1993,No,3343222
Dada bari,2921,3,3,2018,Yes,3761915
Vigyan Nagar,3003,1,1,2017,No,3312859
Dada bari,1110,4,3,1991,No,3229800
Dada bari,1271,3,1,2021,No,3340055
Keshav Pura,1008,3,1,2020,Yes,2686828
Dada bari,1070,3,3,2005,Yes,3243264
Vigyan Nagar,3205,5,1,1980,Yes,3397598
Keshav Pura,2904,3,2,1991,No,2699972
Vigyan Nagar,2230,3,2,2001,No,3265273
Vigyan Nagar,1547,4,2,2005,Yes,3246894
Vigyan Nagar,2814,5,2,2020,Yes,3469842
Vigyan Nagar,2451,1,3,2010,No,3287506
Keshav Pura,3270,1,1,2010,Yes,2843114
Gumanpura,1254,4,3,1983,Yes,2799504
Vigyan Nagar,2677,1,3,2007,Yes,3424197
Gumanpura,2493,5,1,1995,Yes,3128921
Gumanpura,1909,4,3,2001,No,2865089
Keshav Pura,2527,3,2,2010,Yes,2798862
Keshav Pura,1906,2,2,2020,No,2716777
Keshav Pura,1198,3,2,2018,Yes,2761890
Vigyan Nagar,3170,4,2,1983,Yes,3470672
Vigyan Nagar,1025,2,1,2017,No,3189559
Dada bari,1910,2,1,2019,Yes,3561628
Gumanpura,1121,1,2,1982,No,2680611
Gumanpura,2861,3,1,2017,No,3132579
Vigyan Nagar,3019,5,1,2013,Yes,3572123
Gumanpura,2672,1,2,1992,Yes,3106347
Gumanpura,3413,1,2,1996,Yes,3076153
Vigyan Nagar,3369,2,1,2010,No,3401594
Dada bari,3362,3,3,1982,Yes,3672490
Vigyan Nagar,2861,2,1,2022,No,3435313
Vigyan Nagar,2589,1,3,1991,Yes,3273762
Keshav Pura,2747,5,1,2008,Yes,2878465
Nayapura,3298,1,3,2014,No,3095576
Keshav Pura,2200,3,2,1993,Yes,2652166
Keshav Pura,1030,1,2,2010,Yes,2486909
Gumanpura,1661,2,1,2016,Yes,3105943
Vigyan Nagar,2456,5,3,2017,No,3409762
Dada bari,1639,2,1,1993,Yes,3474592
Gumanpura,2182,2,2,1991,Yes,3005816
Dada bari,1976,1,3,1992,Yes,3464317
Nayapura,1939,5,2,1990,No,2809749
Gumanpura,3406,3,1,2006,Yes,3189954
Nayapura,1427,1,3,2011,Yes,2803474
Gumanpura,1223,4,3,2010,No,2892205
Gumanpura,1435,2,3,1989,Yes,2831849
Vigyan Nagar,2918,1,2,2004,No,3276349
Vigyan Nagar,1895,5,1,2015,Yes,3324203
Gumanpura,2970,4,2,2016,No,3227948
Vigyan Nagar,1764,2,1,1991,Yes,3273715
Vigyan Nagar,2545,5,3,1999,Yes,3294520
Nayapura,1635,1,1,2005,No,2734695
Vigyan Nagar,1243,1,1,2011,Yes,3283648
Vigyan Nagar,2664,1,3,2000,No,3215614
Nayapura,2073,4,2,2023,Yes,3164979
Nayapura,1991,4,1,2019,Yes,2976474
Dada bari,1806,3,2,1983,No,3273473
Gumanpura,2994,1,1,2015,Yes,3127208
Dada bari,2159,4,3,2022,No,3592754
Vigyan Nagar,1777,4,3,2009,No,3222651
Vigyan Nagar,2826,5,1,1997,No,3369411
Nayapura,3314,3,1,2015,No,3026607
Nayapura,3045,4,3,1981,Yes,3065918
Keshav Pura,2156,5,2,1984,Yes,2779655
Keshav Pura,2853,5,3,1993,No,2803549
Dada bari,1904,5,1,1983,Yes,3430906
Nayapura,1757,2,1,2011,No,2776150
Vigyan Nagar,1961,1,3,2017,Yes,3295300
Keshav Pura,2549,3,1,1987,No,2666576
Keshav Pura,2576,1,3,1999,No,2570784
Gumanpura,2675,4,1,1989,Yes,3108648
Gumanpura,2634,2,1,2022,Yes,3304354
Dada bari,2289,5,2,2018,Yes,3765755
Vigyan Nagar,2482,4,3,2005,No,3278834
Dada bari,2536,1,3,1984,No,3367955
Nayapura,3021,5,1,1989,No,2987595
Gumanpura,2896,4,1,1987,Yes,3098519
Nayapura,1716,5,2,1997,Yes,2927208
Keshav Pura,2151,2,1,1986,No,2591972
Nayapura,1854,3,2,2006,No,2758938
Dada bari,2889,3,2,2012,Yes,3661905
Vigyan Nagar,2720,3,1,2006,No,3337472
Dada bari,2687,3,2,2004,No,3459349
Gumanpura,985,3,2,1984,No,2768707
Gumanpura,1826,4,1,1991,No,2897491
Vigyan Nagar,3351,4,2,1989,No,3335128
Gumanpura,3358,4,2,2009,No,3180820
Gumanpura,1573,2,1,1993,No,2801417
Dada bari,2303,4,3,2012,No,3530970
Keshav Pura,2304,5,3,2014,Yes,2764671
Keshav Pura,3320,5,3,2009,Yes,2912018
Keshav Pura,2567,4,2,2007,Yes,2882885
Vigyan Nagar,1007,5,3,1991,No,3080441
Nayapura,2724,2,2,2020,Yes,3204403
Keshav Pura,3056,1,2,2015,No,2803050
Keshav Pura,1764,3,3,2000,Yes,2655525
Vigyan Nagar,1080,2,3,2004,No,2940656
Dada bari,3208,3,3,1983,Yes,3600680
Dada bari,1546,5,1,2021,No,3509815
Gumanpura,3386,2,3,2014,Yes,3313623
Keshav Pura,1334,4,3,2016,Yes,2632367
Gumanpura,1756,2,1,2023,Yes,3025611
Vigyan Nagar,3128,3,1,2002,No,3266288
Nayapura,2652,5,3,1989,Yes,2886559
Nayapura,2203,4,1,2010,Yes,2985117
Nayapura,1739,3,1,1981,No,2664686
Vigyan Nagar,1135,4,2,1992,Yes,3101720
Keshav Pura,3031,2,3,2019,Yes,3026813
Gumanpura,1920,1,1,2001,No,2732602
Gumanpura,2605,3,2,2022,No,3041993
Dada bari,1828,3,3,1985,Yes,3506315
Keshav Pura,1263,5,3,2001,No,2538777
Dada bari,1374,5,2,2016,No,3365746
Dada bari,2011,3,2,2000,Yes,3433588
Gumanpura,2558,1,1,1982,Yes,3099659
Vigyan Nagar,1560,2,3,2014,Yes,3249224
Gumanpura,3229,5,2,1988,Yes,3092809
Dada bari,3232,5,2,2020,Yes,3883335
Keshav Pura,1843,3,1,1984,No,2434366
Nayapura,1802,4,1,1982,No,2772655
Dada bari,1663,1,2,2001,No,3199755
Vigyan Nagar,3403,1,1,2000,No,3269419
Gumanpura,2301,5,3,2008,No,2880346
Gumanpura,1919,2,3,2013,No,2926650
Vigyan Nagar,2691,2,3,2015,Yes,3383221
Keshav Pura,1748,3,1,1991,No,2443855
Vigyan Nagar,2780,2,1,2015,No,3370548
Keshav Pura,2183,5,3,1983,No,2581006
Nayapura,3186,2,1,2004,Yes,2996614
Dada bari,2892,2,1,2005,Yes,3502576
Nayapura,1961,1,3,1985,No,2630376
Dada bari,3119,3,1,1983,No,3460584
Gumanpura,3333,3,1,2020,No,3162319
Gumanpura,1110,2,2,2022,Yes,2910605
Gumanpura,2160,4,2,1994,Yes,2967620
Gumanpura,2834,2,2,2004,No,3050828
Nayapura,1549,4,3,1980,No,2648735
Gumanpura,1146,4,3,2012,Yes,2905560
Nayapura,1956,4,2,2020,Yes,3057440
Vigyan Nagar,3469,1,2,1992,Yes,3449196
Dada bari,1046,1,3,1984,No,3283743
Vigyan Nagar,1583,4,2,1990,Yes,3233429
Gumanpura,1721,4,3,2008,Yes,2895085
Keshav Pura,3060,2,3,1982,Yes,2795760
Dada bari,2817,4,3,2005,No,3565257
Dada bari,1281,3,3,2006,No,3262995
Vigyan Nagar,2723,2,3,1994,No,3288936
Dada bari,1832,2,3,2004,Yes,3405237
Vigyan Nagar,1478,3,1,2018,Yes,3340944
Keshav Pura,3008,5,2,2005,No,2701275
Dada bari,966,2,1,1981,Yes,3317047
Vigyan Nagar,2056,2,2,2019,No,3335443
Nayapura,2662,2,2,1998,No,2917252
Nayapura,2709,2,1,1983,No,2920763
Dada bari,2147,3,2,1981,No,3412073
Gumanpura,2256,1,3,2012,No,2894753
Gumanpura,2645,5,1,2013,Yes,3234673
Gumanpura,2555,1,3,2006,No,2998221
Nayapura,3177,3,3,2013,Yes,3212086
Nayapura,1970,3,2,1993,Yes,2896691
Keshav Pura,2607,3,2,1992,Yes,2669019
Dada bari,1461,5,2,2014,Yes,3514789
Vigyan Nagar,2186,2,1,2001,No,3104041
Vigyan Nagar,2561,3,1,1988,Yes,3344360
Vigyan Nagar,3119,1,2,1983,No,3210284
Nayapura,2992,5,3,1991,No,2999874
Vigyan Nagar,1683,2,1,2021,Yes,3422592
Vigyan Nagar,2345,2,1,2014,Yes,3491420
Keshav Pura,2297,4,1,1996,Yes,2717823
Keshav Pura,2365,1,2,1998,No,2483438
Dada bari,3010,3,1,1981,Yes,3652832
Dada bari,3335,2,2,2016,No,3675746
Nayapura,2050,4,2,1981,Yes,2951717
Nayapura,2654,5,3,2017,No,3028854
Nayapura,2539,1,3,1990,Yes,2969763
Vigyan Nagar,1367,4,1,2014,No,3209673
Nayapura,2584,3,1,1993,Yes,2948320
Gumanpura,1538,3,3,2007,No,2916170
Nayapura,3132,5,2,2021,No,3151160
Keshav Pura,2251,3,1,1998,Yes,2684726
Nayapura,2817,4,1,1989,Yes,3009089
Vigyan Nagar,2636,3,2,2022,Yes,3576908
Vigyan Nagar,1050,5,2,2006,Yes,3260592
Keshav Pura,3302,1,1,1984,No,2696399
Gumanpura,2783,2,2,2007,No,2931594
Nayapura,1276,4,3,2022,Yes,2942762
Vigyan Nagar,2162,2,2,2020,No,3312237
Dada bari,1407,5,1,1992,No,3290830
Nayapura,975,3,3,2019,Yes,2881618
Gumanpura,2351,2,1,1988,Yes,2964511
Nayapura,2883,2,3,1984,No,2800231
Keshav Pura,1698,2,3,1985,No,2597458
Dada bari,2547,2,2,1981,Yes,3592026
Nayapura,3160,5,1,2015,No,3050330
Dada bari,2318,4,1,1998,No,3344278
Keshav Pura,2934,5,3,2006,Yes,2833871
Vigyan Nagar,3235,4,3,2003,No,3262176
Gumanpura,2698,2,2,1996,No,2912677
Keshav Pura,3186,5,3,2017,Yes,3070473
Gumanpura,2439,5,3,2009,Yes,3174230
Dada bari,3391,1,1,2007,No,3518878
Vigyan Nagar,2668,4,1,2003,Yes,3263221
Gumanpura,1896,2,2,1998,Yes,2976752
Keshav Pura,3007,3,2,1988,Yes,2813748
Nayapura,2503,5,2,1995,Yes,2873918
Keshav Pura,3121,4,1,2004,Yes,2897954
Gumanpura,1360,2,1,1985,No,2636745
Dada bari,3376,4,2,2019,Yes,3922702
Vigyan Nagar,2494,4,1,1983,No,3304980
Nayapura,2299,3,2,2019,Yes,3004381
Vigyan Nagar,2799,2,3,1994,No,3347422
Dada bari,2182,3,2,2014,No,3566950
Dada bari,1017,2,2,1984,Yes,3321802
Keshav Pura,2005,3,2,2023,No,2850152
Dada bari,3310,4,1,2006,No,3573052
Nayapura,1055,1,1,1982,Yes,2731234
Nayapura,1938,4,1,2005,Yes,2772791
Dada bari,1552,5,2,2018,Yes,3462440
Keshav Pura,1102,2,1,1989,Yes,2420284
Dada bari,1616,3,1,2012,Yes,3559093
Vigyan Nagar,2500,5,1,1999,No,3303109
Gumanpura,2113,4,2,1988,No,2823095
